micro_genre,macro_genre
british post-rock,ROCK
british singer-songwriter,FOLK
british soul,R&B
british soundtrack,CLASSICAL
britpop,POP
broadway,POP
brooklyn indie,ROCK
brostep,ELECTRONIC
brutal death metal,METAL
brutal deathcore,METAL
bubble trance,ELECTRONIC
bubblegum dance,POP
bubblegum pop,POP
buffalo ny indie,ROCK
buffalo ny metal,METAL
c86,ROCK
cabaret,OTHER
cali rap,HIP HOP
calypso,REGGAE
canadian blues,BLUES
canadian ccm,R&B
canadian celtic,FOLK
canadian classical,CLASSICAL
canadian comedy,OTHER
canadian contemporary country,COUNTRY
canadian contemporary r&b,R&B
canadian country,COUNTRY
canadian electronic,ELECTRONIC
canadian electropop,POP
canadian folk,FOLK
canadian hardcore,ROCK
canadian hip hop,HIP HOP
canadian indie,ROCK
canadian indigenous,OTHER
canadian latin,LATIN
canadian metal,METAL
canadian modern jazz,JAZZ
canadian pop,POP
canadian pop punk,ROCK
canadian post-hardcore,ROCK
canadian post-rock,ROCK
canadian punk,ROCK
canadian rock,ROCK
canadian singer-songwriter,FOLK
canadian soundtrack,CLASSICAL
candy pop,POP
cantautor,FOLK
canterbury scene,ROCK
canzone napoletana,OTHER
cape town indie,ROCK
cartoon,OTHER
catstep,ELECTRONIC
ccm,R&B
cedm,ELECTRONIC
cello,CLASSICAL
celtic,FOLK
celtic metal,METAL
celtic punk,ROCK
celtic rock,ROCK
chamber orchestra,CLASSICAL
chamber pop,POP
chamber psych,CLASSICAL
champeta,LATIN
channel islands indie,ROCK
channel pop,POP
chanson,POP
chanson quebecois,FOLK
chaotic hardcore,ROCK
charlotte nc indie,ROCK
charlottesville indie,ROCK
chicago blues,BLUES
chicago drill,HIP HOP
chicago hardcore,ROCK
chicago house,ELECTRONIC
chicago indie,ROCK
chicago pop punk,ROCK
chicago punk,ROCK
chicago rap,HIP HOP
chicago soul,R&B
chicano rap,HIP HOP
children's music,OTHER
chillhop,ELECTRONIC
chillwave,ELECTRONIC
chinese hip hop,HIP HOP
chinese idol pop,POP
chiptune,ELECTRONIC
choral,CLASSICAL
choro,LATIN
christelijk,OTHER
christian a cappella,R&B
christian alternative rock,ROCK
christian dance,ELECTRONIC
christian deathcore,METAL
christian hard rock,ROCK
christian hardcore,ROCK
christian hip hop,HIP HOP
christian indie,ROCK
christian metal,METAL
christian music,R&B
christian pop,POP
christian punk,ROCK
christian relaxative,NEW AGE
christian rock,ROCK
christian trap,HIP HOP
christian uplift,R&B
christmas product,OTHER
chutney,LATIN
cincinnati indie,ROCK
cinematic post-rock,ROCK
classic belgian pop,POP
classic bollywood,CLASSICAL
classic canadian rock,ROCK
classic danish pop,POP
classic garage rock,ROCK
classic girl group,POP
classic greek pop,POP
classic italian pop,POP
classic norwegian pop,POP
classic nz pop,POP
classic opm,POP
classic praise,R&B
classic psychedelic rock,ROCK
classic rock,ROCK
classic russian rock,ROCK
classic schlager,POP
classic soul,R&B
classic soundtrack,CLASSICAL
classic swedish pop,POP
classic uk pop,POP
classical,CLASSICAL
classical bass,CLASSICAL
classical cello,CLASSICAL
classical era,CLASSICAL
classical flute,CLASSICAL
classical mandolin,CLASSICAL
classical mezzo-soprano,CLASSICAL
classical organ,CLASSICAL
classical performance,CLASSICAL
classical piano,CLASSICAL
classical soprano,CLASSICAL
classical tenor,CLASSICAL
classical trumpet,CLASSICAL
classify,OTHER
clean comedy,OTHER
cleveland indie,ROCK
collage pop,POP
college a cappella,OTHER
colombian pop,POP
columbus ohio indie,ROCK
comedienne,OTHER
comedy,OTHER
comedy rock,ROCK
comic,OTHER
comic metal,METAL
complextro,ELECTRONIC
compositional ambient,ELECTRONIC
concert band,CLASSICAL
conscious hip hop,HIP HOP
contemporary classical,CLASSICAL
contemporary country,COUNTRY
contemporary gospel,R&B
contemporary jazz,JAZZ
contemporary post-bop,ROCK
contrabass,CLASSICAL
cool jazz,JAZZ
corrosion,OTHER
cosmic american,ROCK
cosmic post-rock,ROCK
country,COUNTRY
country blues,COUNTRY
country dawn,COUNTRY
country gospel,COUNTRY
country pop,POP
country rap,HIP HOP
country road,COUNTRY
country rock,COUNTRY
coventry indie,ROCK
coverchill,OTHER
cowboy western,COUNTRY
cowpunk,ROCK
crossover thrash,METAL
crunk,HIP HOP
crust punk,ROCK
cuban alternative,ROCK
cuban rumba,LATIN
cubaton,LATIN
cumbia,LATIN
cyberpunk,ROCK
czech rock,ROCK
dakke dak,POP
dallas indie,ROCK
dance pop,POP
dance rock,ROCK
dance-punk,ROCK
dancehall,REGGAE
danish alternative rock,ROCK
danish hip hop,HIP HOP
danish metal,METAL
danish pop,POP
dansband,POP
dansktop,POP
dark black metal,METAL
dark cabaret,OTHER
dark jazz,JAZZ
dark techno,ELECTRONIC
dark trap,HIP HOP
dark wave,ROCK
darkstep,ELECTRONIC
dc hardcore,ROCK
death metal,METAL
deathcore,METAL
deathgrass,METAL
deathgrind,METAL
deep acoustic pop,POP
deep adult standards,R&B
deep big room,ELECTRONIC
deep ccm,R&B
deep chiptune,OTHER
deep christian rock,ROCK
deep classic garage rock,ROCK
deep comedy,OTHER
deep contemporary country,COUNTRY
deep cumbia sonidera,LATIN
deep dance pop,POP
deep disco,ELECTRONIC
deep disco house,ELECTRONIC
deep east coast hip hop,HIP HOP
deep euro house,ELECTRONIC
deep eurodance,ELECTRONIC
deep free jazz,JAZZ
deep freestyle,ELECTRONIC
deep funk,R&B
deep g funk,HIP HOP
deep german hip hop,HIP HOP
deep gothic post-punk,ROCK
deep groove house,ELECTRONIC
deep house,ELECTRONIC
deep indian pop,POP
deep indie singer-songwriter,ROCK
deep jazz fusion,JAZZ
deep latin christian,LATIN
deep melodic hard rock,ROCK
deep melodic metalcore,METAL
deep minimal techno,ELECTRONIC
deep motown,R&B
deep new americana,COUNTRY
deep new wave,ROCK
deep northern soul,R&B
deep pop edm,POP
deep pop r&b,POP
deep progressive trance,ELECTRONIC
deep punk rock,ROCK
deep ragga,REGGAE
deep regional mexican,LATIN
deep soft rock,ROCK
deep soundtrack,CLASSICAL
deep southern soul,R&B
deep southern trap,HIP HOP
deep surf music,OTHER
deep talent show,POP
deep tropical house,LATIN
deep underground hip hop,HIP HOP
deep vocal house,ELECTRONIC
deep vocal jazz,JAZZ
delta blues,BLUES
denpa-kei,ELECTRONIC
denton tx indie,ROCK
denver indie,ROCK
derry indie,ROCK
desi hip hop,HIP HOP
desi pop,POP
destroy techno,ELECTRONIC
detroit hip hop,HIP HOP
detroit house,ELECTRONIC
detroit indie,ROCK
detroit trap,HIP HOP
devon indie,ROCK
dfw rap,HIP HOP
didgeridoo,FOLK
digital hardcore,ELECTRONIC
dirty south rap,HIP HOP
dirty texas rap,HIP HOP
disco,ELECTRONIC
disco house,ELECTRONIC
disney,CLASSICAL
diva house,ELECTRONIC
dixieland,JAZZ
djent,METAL
dmv rap,HIP HOP
dominican pop,POP
doo-wop,R&B
doom metal,METAL
downtempo,ELECTRONIC
dream pop,POP
dreamgaze,OTHER
dreamo,ROCK
drill,HIP HOP
drill and bass,HIP HOP
drone,AVANT-GARDE
drone metal,METAL
drum and bass,ELECTRONIC
dub,REGGAE
dubstep,ELECTRONIC
duluth indie,ROCK
duranguense,LATIN
dusseldorf electronic,ELECTRONIC
dutch hip hop,HIP HOP
dutch house,ELECTRONIC
dutch indie,ROCK
dutch metal,METAL
dutch pop,POP
dutch prog,ROCK
dutch rock,ROCK
dutch urban,HIP HOP
e6fi,OTHER
early avant garde,CLASSICAL
early modern classical,CLASSICAL
early music,CLASSICAL
early music ensemble,CLASSICAL
early romantic era,CLASSICAL
east coast hip hop,HIP HOP
east coast reggae,REGGAE
easy listening,POP
easycore,ROCK
eau claire indie,ROCK
ebm,ELECTRONIC
ectofolk,FOLK
ecuadorian pop,POP
edm,ELECTRONIC
edmonton indie,ROCK
el paso indie,ROCK
electra,ELECTRONIC
electric blues,BLUES
electro,ELECTRONIC
electro house,ELECTRONIC
electro latino,LATIN
electro swing,JAZZ
electro-industrial,ELECTRONIC
electroclash,ELECTRONIC
electrofox,ELECTRONIC
electronic,ELECTRONIC
electronic rock,ROCK
electronic trap,HIP HOP
electropop,POP
electropowerpop,POP
emo,ROCK
emo punk,ROCK
emo rap,HIP HOP
english indie rock,ROCK
english renaissance,CLASSICAL
enka,POP
entehno,OTHER
epic doom,METAL
epicore,OTHER
erotica,OTHER
escape room,OTHER
essex indie,ROCK
estonian pop,POP
ethereal wave,ELECTRONIC
etherpop,POP
ethio-jazz,JAZZ
euro hi-nrg,ELECTRONIC
eurodance,ELECTRONIC
europop,POP
euroska,OTHER
eurovision,POP
exotica,OTHER
experimental,AVANT-GARDE
experimental hip hop,HIP HOP
experimental pop,POP
experimental rock,ROCK
fake,OTHER
family gospel,R&B
fidget house,ELECTRONIC
filmi,CLASSICAL
filter house,ELECTRONIC
filthstep,ELECTRONIC
fingerstyle,FOLK
finnish death metal,METAL
finnish edm,ELECTRONIC
finnish metal,METAL
finnish rockabilly,ROCK
flamenco,LATIN
flamenco guitar,LATIN
florida death metal,METAL
florida rap,HIP HOP
focus,OTHER
folk,FOLK
folk brasileiro,FOLK
folk metal,METAL
folk punk,ROCK
folk rock,ROCK
folk-pop,POP
folkmusik,FOLK
folktronica,ELECTRONIC
forro,LATIN
fort worth indie,ROCK
fourth world,OTHER
francoton,LATIN
freak folk,FOLK
freakbeat,ROCK
free improvisation,JAZZ
free jazz,JAZZ
freestyle,ELECTRONIC
french death metal,METAL
french indie pop,POP
french jazz,JAZZ
french metal,METAL
french opera,CLASSICAL
french pop,POP
french reggae,REGGAE
french rock,ROCK
french shoegaze,ROCK
french soundtrack,CLASSICAL
french worship,R&B
funana,LATIN
funeral doom,METAL
funk,R&B
funk carioca,R&B
funk das antigas,R&B
funk metal,METAL
funk ostentacao,R&B
funk rock,ROCK
funky breaks,ELECTRONIC
funky tech house,ELECTRONIC
future funk,R&B
future garage,ROCK
future house,ELECTRONIC
future rock,ROCK
futurepop,POP
g funk,HIP HOP
gabba,ELECTRONIC
gaian doom,METAL
gainesville indie,ROCK
gangster rap,HIP HOP
garage pop,POP
garage psych,ROCK
garage punk,ROCK
garage rock,ROCK
gauze pop,POP
gbvfi,OTHER
geek rock,ROCK
german baroque,CLASSICAL
german country,COUNTRY
german dance,ELECTRONIC
german hard rock,ROCK
german hip hop,HIP HOP
german metal,METAL
german metalcore,METAL
german pop,POP
german pop rock,POP
german punk,ROCK
german rock,ROCK
german ska,REGGAE
german soundtrack,CLASSICAL
german techno,ELECTRONIC
german thrash metal,METAL
ghanaian hip hop,HIP HOP
ghazal,FOLK
girl group,POP
glam metal,METAL
glam rock,ROCK
glitch,ELECTRONIC
glitch hop,ELECTRONIC
go-go,R&B
goregrind,METAL
gospel,R&B
gospel r&b,R&B
gospel rap,HIP HOP
gospel reggae,REGGAE
gospel singers,R&B
gothenburg indie,ROCK
gothenburg metal,METAL
gothic alternative,ROCK
gothic americana,COUNTRY
gothic metal,METAL
gothic rock,ROCK
gothic symphonic metal,METAL
grand rapids indie,ROCK
grave wave,OTHER
greek contemporary classical,CLASSICAL
greek guitar,FOLK
grime,HIP HOP
grindcore,METAL
groove metal,METAL
grunge,ROCK
grunge pop,POP
grupera,LATIN
gruperas inmortales,LATIN
gymcore,OTHER
gypsy jazz,JAZZ
gypsy punk,ROCK
haitian gospel,R&B
halloween,OTHER
hamburg electronic,ELECTRONIC
hampton roads indie,ROCK
hands up,ELECTRONIC
happy hardcore,ELECTRONIC
hard alternative,ROCK
hard bop,JAZZ
hard glam,ROCK
hard rock,ROCK
hardcore,ROCK
hardcore hip hop,HIP HOP
hardcore punk,ROCK
hardcore techno,ELECTRONIC
hardstyle,ELECTRONIC
harmonica blues,BLUES
harp,CLASSICAL
hawaiian,FOLK
hawaiian hip hop,HIP HOP
healing,NEW AGE
heartland rock,ROCK
hi-nrg,ELECTRONIC
hindustani classical,CLASSICAL
hip hop,HIP HOP
hip house,ELECTRONIC
hip pop,POP
historically informed performance,CLASSICAL
hoerspiel,OTHER
hollywood,CLASSICAL
hopebeat,OTHER
horror punk,ROCK
horror synth,ELECTRONIC
horrorcore,HIP HOP
house,ELECTRONIC
houston rap,HIP HOP
hurdy-gurdy,FOLK
hyperpop,POP
hyphy,HIP HOP
icelandic classical,CLASSICAL
icelandic indie,ROCK
icelandic pop,POP
icelandic rock,ROCK
idaho indie,ROCK
idol,POP
idol rock,ROCK
indian classical,CLASSICAL
indian folk,FOLK
indian indie,ROCK
indian jazz,JAZZ
indiana indie,ROCK
indie anthem-folk,FOLK
indie dream pop,POP
indie electro-pop,POP
indie folk,FOLK
indie garage rock,ROCK
indie jazz,ROCK
indie pop,POP
indie pop rap,POP
indie pop rock,POP
indie poptimism,POP
indie psych-pop,POP
indie punk,ROCK
indie r&b,ROCK
indie rock,ROCK
indie rockism,ROCK
indie shoegaze,ROCK
indie surf,ROCK
indiecoustica,ROCK
indietronica,ROCK
indonesian hip hop,HIP HOP
indonesian jazz,JAZZ
industrial,ELECTRONIC
industrial metal,METAL
industrial rock,ROCK
indy indie,ROCK
instrumental acoustic guitar,FOLK
instrumental funk,R&B
instrumental grime,HIP HOP
instrumental math rock,ROCK
instrumental post-rock,ROCK
instrumental progressive metal,METAL
instrumental rock,ROCK
intelligent dance music,ELECTRONIC
irish contemporary classical,CLASSICAL
irish country,COUNTRY
irish dance,FOLK
irish folk,FOLK
irish pop,POP
irish rock,ROCK
irish singer-songwriter,FOLK
israeli mediterranean,FOLK
israeli pop,POP
italian disco,ELECTRONIC
italian metal,METAL
italian opera,CLASSICAL
italian pop,POP
italian pop rock,POP
italian progressive rock,ROCK
italian soundtrack,CLASSICAL
italo dance,ELECTRONIC
italo house,ELECTRONIC
j-division,ROCK
j-idol,POP
j-metal,METAL
j-pop,POP
j-pop boy group,POP
j-pop girl group,POP
j-poprock,POP
j-rock,ROCK
jacksonville indie,ROCK
jam band,ROCK
jamgrass,FOLK
jamtronica,ELECTRONIC
jangle pop,POP
japanese city pop,POP
japanese heavy metal,METAL
japanese r&b,R&B
jawaiian,REGGAE
jazz,JAZZ
jazz blues,JAZZ
jazz boom bap,HIP HOP
jazz clarinet,JAZZ
jazz cubano,LATIN
jazz double bass,JAZZ
jazz drums,JAZZ
jazz electric bass,JAZZ
jazz funk,R&B
jazz fusion,JAZZ
jazz guitar,JAZZ
jazz metal,METAL
jazz orchestra,JAZZ
jazz organ,JAZZ
jazz piano,JAZZ
jazz rap,HIP HOP
jazz saxophone,JAZZ
jazz trio,JAZZ
jazz trombone,JAZZ
jazz trumpet,JAZZ
jazz vibraphone,JAZZ
jazz violin,JAZZ
jazztronica,JAZZ
jersey club,ELECTRONIC
jewish pop,POP
jig and reel,FOLK
jordanian pop,POP
jug band,FOLK
jump blues,BLUES
jump up,ELECTRONIC
jungle,ELECTRONIC
k-hop,POP
k-indie,ROCK
k-pop,POP
k-pop boy group,POP
k-pop girl group,POP
kansas indie,ROCK
karaoke,POP
kawaii future bass,ELECTRONIC
kawaii metal,METAL
kc indie,ROCK
kent indie,ROCK
kentucky indie,ROCK
kentucky metal,METAL
kids dance party,ELECTRONIC
kingston on indie,ROCK
kirtan,NEW AGE
kiwi rock,ROCK
korean pop,POP
korean r&b,R&B
krautrock,ROCK
kwaito house,ELECTRONIC
la indie,ROCK
la pop,POP
laboratorio,OTHER
lafayette indie,ROCK
lancaster pa indie,ROCK
late romantic era,CLASSICAL
latin,LATIN
latin afrobeat,LATIN
latin alternative,ROCK
latin arena pop,POP
latin classical,LATIN
latin hip hop,HIP HOP
latin jazz,LATIN
latin metal,METAL
latin pop,POP
latin rock,ROCK
latin soundtrack,LATIN
latin talent show,LATIN
latin viral pop,POP
latin worship,LATIN
lawrence ks indie,ROCK
lds,OTHER
lds youth,OTHER
leicester indie,ROCK
lexington ky indie,ROCK
lgbtq+ hip hop,HIP HOP
library music,OTHER
light music,CLASSICAL
lilith,POP
limerick indie,ROCK
liquid funk,R&B
liverpool indie,ROCK
livetronica,ELECTRONIC
lo-fi,ELECTRONIC
lo-fi beats,ELECTRONIC
louisiana blues,BLUES
louisiana metal,METAL
louisville indie,ROCK
lounge,JAZZ
louvor,R&B
lovers rock,ROCK
lullaby,OTHER
madchester,ROCK
makossa,FOLK
malaysian indie,ROCK
malaysian pop,POP
mambo,JAZZ
mande pop,POP
mangue bit,LATIN
manitoba indie,ROCK
marching band,CLASSICAL
mariachi,LATIN
math rock,ROCK
mathcore,ROCK
mbalax,REGGAE
medieval folk,FOLK
meditation,NEW AGE
medway sound,ROCK
melancholia,OTHER
melbourne bounce,ELECTRONIC
melbourne bounce international,ELECTRONIC
melbourne indie,ROCK
mellow gold,POP
melodic death metal,METAL
melodic deathcore,METAL
melodic hard rock,ROCK
melodic hardcore,ROCK
melodic metalcore,METAL
melodic progressive metal,METAL
melodic thrash,METAL
meme rap,HIP HOP
memphis americana,COUNTRY
memphis blues,BLUES
memphis hip hop,HIP HOP
memphis indie,ROCK
memphis soul,R&B
merengue,LATIN
merseybeat,ROCK
messianic praise,R&B
metal,METAL
metal guitar,METAL
metalcore,METAL
metallic hardcore,METAL
metropopolis,POP
mexican electronic,LATIN
mexican hip hop,HIP HOP
mexican indie,ROCK
mexican pop,POP
mexican rock,ROCK
mexican rock-and-roll,ROCK
miami bass,R&B
miami hip hop,HIP HOP
miami metal,METAL
michigan indie,ROCK
microhouse,ELECTRONIC
microtonal,OTHER
middle earth,NEW AGE
midwest emo,ROCK
military cadence,OTHER
military rap,HIP HOP
milwaukee hip hop,HIP HOP
minimal,ELECTRONIC
minimal techno,ELECTRONIC
minneapolis indie,ROCK
minneapolis sound,R&B
minnesota hip hop,HIP HOP
mod revival,ROCK
modern alternative rock,ROCK
modern blues,BLUES
modern blues rock,ROCK
modern bollywood,CLASSICAL
modern country rock,COUNTRY
modern hard rock,ROCK
modern reggae,REGGAE
modern rock,ROCK
modern salsa,LATIN
modern ska punk,ROCK
modern southern rock,ROCK
modern uplift,OTHER
monastic,CLASSICAL
moog,OTHER
moombahton,ELECTRONIC
motown,R&B
movie tunes,CLASSICAL
mpb,LATIN
music box,CLASSICAL
musica de fondo,OTHER
musica infantil,OTHER
musica para ninos,OTHER
muzica crestina,R&B
n,OTHER
naija worship,R&B
nashville indie,COUNTRY
nashville singer-songwriter,COUNTRY
nashville sound,COUNTRY
native american,FOLK
native american hip hop,HIP HOP
nc hip hop,HIP HOP
nederpop,POP
neo classical metal,METAL
neo mellow,R&B
neo r&b,R&B
neo soul,R&B
neo soul-jazz,R&B
neo-classical,CLASSICAL
neo-progressive,ROCK
neo-psychedelic,ROCK
neo-rockabilly,ROCK
neo-singer-songwriter,FOLK
neo-synthpop,POP
neo-trad metal,METAL
neo-traditional country,COUNTRY
neoclassical,CLASSICAL
neon pop punk,ROCK
neue deutsche harte,METAL
neue deutsche welle,ROCK
neurofunk,ELECTRONIC
new age,NEW AGE
new age piano,NEW AGE
new americana,COUNTRY
new beat,ELECTRONIC
new england americana,COUNTRY
new french touch,ELECTRONIC
new jack smooth,R&B
new jack swing,R&B
new jersey indie,ROCK
new jersey punk,ROCK
new jersey rap,HIP HOP
new mexico music,FOLK
new orleans blues,BLUES
new orleans funk,R&B
new orleans jazz,JAZZ
new orleans rap,HIP HOP
new rave,ELECTRONIC
new romantic,ROCK
new tribe,NEW AGE
new wave,ROCK
new wave of thrash metal,ROCK
new wave pop,POP
new weird america,FOLK
nica,LATIN
nigerian hip hop,HIP HOP
nigerian pop,POP
nightrun,OTHER
ninja,OTHER
nintendocore,ROCK
nl folk,FOLK
no wave,ROCK
noise pop,POP
noise rock,ROCK
nordic house,ELECTRONIC
nordic post-rock,ROCK
nordic soundtrack,CLASSICAL
norman ok indie,ROCK
norsk lovsang,OTHER
norteno,LATIN
north carolina emo,ROCK
north carolina indie,ROCK
northern irish indie,ROCK
northern soul,R&B
norwegian black metal,METAL
norwegian blues,BLUES
norwegian hip hop,HIP HOP
norwegian indie,ROCK
norwegian metal,METAL
norwegian pop,POP
norwegian rock,ROCK
norwegian space disco,ELECTRONIC
nottingham indie,ROCK
nova mpb,LATIN
nu disco,ELECTRONIC
nu gaze,ROCK
nu jazz,JAZZ
nu metal,METAL
nu-cumbia,LATIN
nu-metalcore,METAL
nursery,OTHER
nwobhm,ROCK
nwocr,ROCK
nwothm,ROCK
nyc pop,POP
nyc rap,HIP HOP
nyhc,ROCK
nz electronic,ELECTRONIC
nz hip hop,HIP HOP
nz pop,POP
nz singer-songwriter,FOLK
oakland indie,ROCK
oceania soundtrack,CLASSICAL
ohio indie,ROCK
oi,ROCK
ok indie,ROCK
okc indie,ROCK
old school dancehall,REGGAE
old school hip hop,HIP HOP
old school nederhop,HIP HOP
old school thrash,METAL
old school uk hip hop,HIP HOP
old-time,FOLK
olympia wa indie,ROCK
omaha indie,ROCK
one-person band,OTHER
ontario indie,ROCK
opera,CLASSICAL
operatic pop,POP
opm,POP
oratory,CLASSICAL
orchestra,CLASSICAL
orchestral performance,CLASSICAL
orgcore,ROCK
oriental metal,METAL
otacore,OTHER
oth indie,ROCK
ottawa indie,ROCK
oulu metal,METAL
outlaw country,COUNTRY
outsider,OTHER
oxford indie,ROCK
p funk,R&B
pagan black metal,METAL
pagode,LATIN
panamanian pop,POP
papuri,OTHER
paracana,LATIN
permanent wave,ROCK
pernambuco alternative,ROCK
perreo,LATIN
persian pop,POP
perth indie,ROCK
philly indie,ROCK
philly rap,HIP HOP
philly soul,R&B
phonk,HIP HOP
pianissimo,OTHER
piano blues,BLUES
piano cover,OTHER
piano rock,ROCK
piedmont blues,ELECTRONIC
pinoy hip hop,HIP HOP
pinoy indie,ROCK
pinoy praise,R&B
pittsburgh rap,HIP HOP
pittsburgh rock,ROCK
pixie,OTHER
polish black metal,METAL
polish classical,CLASSICAL
polish contemporary classical,CLASSICAL
polish death metal,METAL
polish metal,METAL
polka,FOLK
polynesian pop,POP
pop,POP
pop edm,POP
pop emo,POP
pop folk,POP
pop house,POP
pop nacional,POP
pop punk,ROCK
pop quebecois,POP
pop rap,POP
pop reggaeton,POP
pop rock,POP
pop romantico,POP
popgaze,POP
popping,POP
portland hip hop,HIP HOP
portland indie,ROCK
portland metal,METAL
post-disco,ROCK
post-disco soul,ROCK
post-doom metal,ROCK
post-grunge,ROCK
post-hardcore,ROCK
post-metal,ROCK
post-post-hardcore,ROCK
post-punk,ROCK
post-rock,ROCK
post-romantic era,ROCK
post-screamo,ROCK
post-teen pop,POP
power metal,METAL
power pop,POP
power thrash,METAL
power-pop punk,ROCK
praise,R&B
prank,OTHER
preverb,OTHER
prog quebec,ROCK
progressive alternative,ROCK
progressive bluegrass,COUNTRY
progressive deathcore,METAL
progressive electro house,ELECTRONIC
progressive house,ELECTRONIC
progressive jazz fusion,JAZZ
progressive metal,METAL
progressive metalcore,METAL
progressive post-hardcore,ROCK
progressive psytrance,ELECTRONIC
progressive rock,ROCK
progressive sludge,METAL
progressive trance,ELECTRONIC
progressive trance house,ELECTRONIC
progressive uplifting trance,ELECTRONIC
protopunk,ROCK
psychedelic blues-rock,ROCK
psychedelic doom,ROCK
psychedelic folk,ROCK
psychedelic rock,ROCK
psychedelic trance,ROCK
psychobilly,ROCK
pub rock,ROCK
puerto rican rock,ROCK
punk,ROCK
punk blues,ROCK
quebec indie,ROCK
